id,book_id,isbn,authors,original_publication_year,title,quantity
25,136251,545010225,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",5
26,968,307277674,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)",4
27,1,439785960,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",3
28,7624,140283331,William Golding,1954,Lord of the Flies,2
29,18135,743477111,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,1
30,8442457,297859382,Gillian Flynn,2012,Gone Girl,0
31,4667024,399155341,Kathryn Stockett,2009,The Help,5
32,890,142000671,John Steinbeck,1937,Of Mice and Men,4
33,930,739326228,Arthur Golden,1997,Memoirs of a Geisha,3
34,10818853,1612130291,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",2
35,865,61122416,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,1
36,3636,385732554,Lois Lowry,1993,"The Giver (The Giver, #1)",0
37,100915,60764899,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",5
38,14050,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,4
39,13496,553588486,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",3
40,19501,143038419,Elizabeth Gilbert,2006,"Eat, Pray, Love",2
41,28187,786838655,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",1
42,1934,451529308,Louisa May Alcott,1868,"Little Women (Little Women, #1)",0
43,10210,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,5
44,15931,553816713,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",4
45,4214,770430074,Yann Martel,2001,Life of Pi,3
46,43641,1565125606,Sara Gruen,2006,Water for Elephants,2
47,19063,375831002,Markus Zusak,2005,The Book Thief,1
48,4381,307347974,Ray Bradbury,1953,Fahrenheit 451,0
49,49041,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)",5
50,30119,60513039,Shel Silverstein,1974,Where the Sidewalk Ends,4
51,256683,1416914285,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",3
52,428263,316160202,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",2
53,113436,375826696,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",1
54,11,345391802,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",0
55,5129,60929871,Aldous Huxley,1932,Brave New World,5
56,1162543,031606792X,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",4
57,37435,142001740,Sue Monk Kidd,2001,The Secret Life of Bees,3
58,2956,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,2
59,24178,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,1
60,1618,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,0
61,22557272,1594633665,Paula Hawkins,2015,The Girl on the Train,5
62,119322,679879242,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",4
63,6185,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,3
64,10917,743454537,Jodi Picoult,2004,My Sister's Keeper,2
65,4981,385333846,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,1
66,18405,446675539,Margaret Mitchell,1936,Gone with the Wind,0
67,128029,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,5
68,22628,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,4
69,11735983,7442912,Veronica Roth,2012,"Insurgent (Divergent, #2)",3
70,375802,812550706,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",2
71,18490,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,1
72,11588,450040186,Stephen King,1977,The Shining (The Shining #1),0
73,1656001,316068047,Stephenie Meyer,2008,"The Host (The Host, #1)",5
74,99561,142402516,John Green,2005,Looking for Alaska,4
75,227443,014028009X,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",3
76,14935,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,2
77,38709,439244196,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",1
78,5139,307275558,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",0
79,1381,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,5
80,157993,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,4
81,7445,074324754X,Jeannette Walls,2005,The Glass Castle,3
82,1845,385486804,Jon Krakauer,1996,Into the Wild,2
83,1953,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,1
84,7677,030734813X,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",0
85,370493,60256656,Shel Silverstein,1964,The Giving Tree,5
86,32542,385338600,John Grisham,1989,A Time to Kill,4
87,1617,374500010,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),3
88,6442769,014241493X,John Green,2008,Paper Towns,2
89,21787,345418263,William Goldman,1973,The Princess Bride ,1
90,231804,014038572X,S.E. Hinton,1967,The Outsiders,0
91,6186357,385737947,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",5
92,1202,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",4
93,2998,517189607,Frances Hodgson Burnett,1911,The Secret Garden,3
94,320,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,2
95,5297,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,1
96,13536860,345803507,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",0
97,17245,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,5
98,5060378,307269981,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",4
99,11857408,1612130585,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",3
100,7244,60786507,Barbara Kingsolver,1998,The Poisonwood Bible,2
101,4137,349113912,David Sedaris,2000,Me Talk Pretty One Day,1
102,19543,99408392,Maurice Sendak,1963,Where the Wild Things Are,0
103,7126,140449264,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,5
104,6288,307265439,Cormac McCarthy,2006,The Road,4
105,18710190,7524277,Veronica Roth,2013,"Allegiant (Divergent, #3)",3
106,9418327,,Tina Fey,2011,Bossypants,2
107,3473,446693804,Nicholas Sparks,1999,A Walk to Remember,1
108,9416,440241413,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)",0
109,24280,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,5
110,10572,553381695,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",4
111,10441,143037145,Kim Edwards,2005,The Memory Keeper's Daughter,3
112,15507958,670026603,Jojo Moyes,2012,"Me Before You (Me Before You, #1)",2
113,168668,684833395,Joseph Heller,1961,Catch-22,1
114,6900,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,0
115,2187,312422156,Jeffrey Eugenides,2002,Middlesex,5
116,24583,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,4
117,18131,440498058,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",3
118,7763,143038095,Amy Tan,1989,The Joy Luck Club,2
119,38447,038549081X,Margaret Atwood,1985,The Handmaid's Tale,1
120,452306,385729332,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",0
121,7604,,"Vladimir Nabokov, Craig Raine",1955,Lolita,5
122,37442,60987103,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",4
123,5358,582418275,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",3
124,7937843,316098337,Emma Donoghue,2010,Room,2
125,1420,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,1
126,234225,340839937,Frank Herbert,1965,Dune (Dune Chronicles #1),0
127,2612,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,5
128,11084145,1451648537,Walter Isaacson,2011,Steve Jobs,4
129,332613,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,3
130,2165,684830493,Ernest Hemingway,1952,The Old Man and the Sea,2
131,4395,142000663,John Steinbeck,1939,The Grapes of Wrath,1
132,3431,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven,0
133,8127,451528824,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",5
134,3777732,1416914307,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",4
135,62291,055357342X,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)",3
136,137791,006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,2
137,10964,440242940,Diana Gabaldon,1991,"Outlander (Outlander, #1)",1
138,12296,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,0
139,9460487,1594744769,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",5
140,6892870,030726999X,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4
141,18007564,804139024,Andy Weir,2012,The Martian,3
142,5043,451207149,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",2
143,18143977,1476746583,Anthony Doerr,2014,All the Light We Cannot See,1
144,8664353,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",0
145,976,671027387,Dan Brown,2001,Deception Point,5
146,17333223,316055433,Donna Tartt,2013,The Goldfinch,4
147,1217100,1595141715,Jay Asher,2007,Thirteen Reasons Why,3
148,2865,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring,2
149,4374400,525421033,Gayle Forman,2009,"If I Stay (If I Stay, #1)",1
150,4989,312353766,Anita Diamant,1997,The Red Tent,0
151,28186,786856866,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",5
152,5526,446528056,Nicholas Sparks,2006,Dear John,4
153,1582996,1416914293,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",3
154,8852,743477103,William Shakespeare,1606,Macbeth,2
155,15241,618346260,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)",1
156,42156,031232118X,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)",0
157,23772,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,5
158,6310,142403881,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4
159,2120932,1423101464,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",3
160,2623,192833596,Charles Dickens,1860,Great Expectations,2
161,18512,345339738,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)",1
162,49552,,"Albert Camus, Matthew    Ward",1942,The Stranger,0
163,7736182,142311339X,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)",5
164,15745753,1250012570,Rainbow Rowell,2013,Eleanor & Park,4
165,13497,055358202X,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)",3
166,7735333,525423648,Ally Condie,2010,"Matched (Matched, #1)",2
167,4407,747263744,Neil Gaiman,2001,"American Gods (American Gods, #1)",1
168,149267,385199570,"Stephen King, Bernie Wrightson",1978,The Stand,0
169,6400090,446547565,Nicholas Sparks,2008,The Last Song,5
170,11125,552151696,Dan Brown,1998,Digital Fortress,4
171,6969,141439580,"Jane Austen, Fiona Stafford",1815,Emma,3
172,15823480,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,2
173,227463,393312836,Anthony Burgess,1962,A Clockwork Orange,1
174,1812457,964729237,William Paul Young,2007,The Shack,0
175,4502507,739380338,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",5
176,18342,451169514,Stephen King,1986,It,4
177,7144,143058142,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,3
178,6514,61148512,Sylvia Plath,1963,The Bell Jar,2
179,252577,7205236,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",1
180,52036,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,0
181,168642,679745580,Truman Capote,1965,In Cold Blood,5
182,6304335,316042676,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",4
183,7171637,1416975861,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",3
184,39988,141301066,"Roald Dahl, Quentin Blake",1988,Matilda,2
185,9361589,385534639,Erin Morgenstern,2011,The Night Circus,1
186,37470,743227441,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",0
187,24770,689865384,Scott Westerfeld,2005,"Uglies (Uglies, #1)",5
188,10664113,,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)",4
189,33,618640150,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)",3
190,12262741,307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,2
191,472331,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,1
192,186074,075640407X,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)",0
193,3228917,316017922,Malcolm Gladwell,2008,Outliers: The Story of Success,5
194,153747,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale",4
195,2728527,385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,3
196,5759,393327345,Chuck Palahniuk,1996,Fight Club,2
197,301082,441008534,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)",1
198,11486,671727796,Alice Walker,1982,The Color Purple,0
199,12691,739461192,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog,5
200,16299,312330871,Agatha Christie,1939,And Then There Were None,4
201,6411961,385504225,Dan Brown,2009,"The Lost Symbol (Robert Langdon, #3)",3
202,6339664,1416989412,Becca Fitzpatrick,2009,"Hush, Hush (Hush, Hush, #1)",2
203,11505797,,Jamie McGuire,2011,"Beautiful Disaster (Beautiful, #1)",1
204,5326,1561797464,Charles Dickens,1843,A Christmas Carol,0
205,43763,345476875,Anne Rice,1976,"Interview with the Vampire (The Vampire Chronicles, #1)",5
206,10507293,62059939,Kiera Cass,2012,"The Selection (The Selection, #1)",4
207,6853,312362080,Janet Evanovich,1994,"One for the Money (Stephanie Plum, #1)",3
208,6493208,1400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,2
209,23807,99446782,Thomas Harris,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)",1
210,345627,159514174X,Richelle Mead,2007,"Vampire Academy (Vampire Academy, #1)",0
211,40102,316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,5
212,6867,038572179X,Ian McEwan,2001,Atonement,4
213,485894,553213695,"Franz Kafka, Stanley Corngold",1915,The Metamorphosis,3
214,561456,141382899,Rick Riordan,2007,"The Titan's Curse (Percy Jackson and the Olympians, #3)",2
215,9969571,030788743X,Ernest Cline,2011,Ready Player One,1
216,3153910,1554681723,Garth Stein,2006,The Art of Racing in the Rain,0
217,21996,739303406,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",5
218,13572249,425263908,Sylvia Day,2012,"Bared to You (Crossfire, #1)",4
219,11127,66238501,"C.S. Lewis, Pauline Baynes",1956,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",3
220,3609760,316043133,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,2
221,60748,1558743669,Dave Pelzer,1995,"A Child Called ""It"" (Dave Pelzer #1)",1
222,7869,752864327,Robert Ludlum,1980,"The Bourne Identity (Jason Bourne, #1)",0
223,249747,786817879,Eoin Colfer,2001,"Artemis Fowl (Artemis Fowl, #1)",5
224,6487308,385738935,Lauren Kate,2009,"Fallen (Fallen, #1)",4
225,4406,142000655,John Steinbeck,1952,East of Eden,3
226,5886881,307341569,Gillian Flynn,2009,Dark Places,2
227,5359,385339089,John Grisham,1993,The Client,1
228,228333,312291639,"Emma McLaughlin, Nicola Kraus",2002,"The Nanny Diaries (Nanny, #1)",0
229,24213,451527747,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland & Through the Looking-Glass,5
230,2156,192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,4
231,556602,312370830,Tatiana de Rosnay,2007,Sarah's Key,3
232,43615,452284694,Stephen King,1982,"The Gunslinger (The Dark Tower, #1)",2
233,9712,140003468X,"Gabriel García Márquez, Edith Grossman",1985,Love in the Time of Cholera,1
234,439288,014131088X,Laurie Halse Anderson,1999,Speak,0
235,17802724,399159347,Liane Moriarty,2013,The Husband's Secret,5
236,1898,385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mount Everest Disaster,4
237,10592,1416524304,Stephen King,1974,Carrie,3
238,242006,031242227X,Augusten Burroughs,2002,Running with Scissors,2
239,8908,307346609,Max Brooks,2006,World War Z: An Oral History of the Zombie War,1
240,17212231,385537859,Dan Brown,2013,"Inferno (Robert Langdon, #4)",0
241,47281,440227534,Lois Lowry,1989,Number the Stars,5
242,13145,446692638,James Patterson,1993,"Along Came a Spider (Alex Cross, #1)",4
243,10614,450417395,Stephen King,1987,Misery,3
244,66559,307341542,Gillian Flynn,2006,Sharp Objects,2
245,2839,439366771,Katherine Paterson,1977,Bridge to Terabithia,1
246,30183,312360266,"P.C. Cast, Kristin Cast",2007,"Marked (House of Night, #1)",0
247,36072,743269519,Stephen R. Covey,1989,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,5
248,1622,743477545,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,4
249,4588,618711651,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,3
250,11387515,375869026,R.J. Palacio,2012,Wonder,2
251,233093,039480001X,Dr. Seuss,1957,The Cat in the Hat,1
252,11235712,312641893,Marissa Meyer,2012,"Cinder (The Lunar Chronicles, #1)",0
253,16160797,316206849,"Robert Galbraith, J.K. Rowling",2013,"The Cuckoo's Calling (Cormoran Strike, #1)",5
254,6068551,545123267,Maggie Stiefvater,2009,"Shiver (The Wolves of Mercy Falls, #1)",4
255,662,452011876,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged,3
256,49436,143038257,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,2
257,13023,517223627,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,Alice in Wonderland,1
258,1232,143034901,"Carlos Ruiz Zafón, Lucia Graves",2001,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",0
259,7631105,385738757,James Dashner,2010,"The Scorch Trials (Maze Runner, #2)",5
260,4865,,Dale Carnegie,1936,How to Win Friends and Influence People,4
261,480479,767900383,Frances Mayes,1996,Under the Tuscan Sun,3
262,19486412,399167064,Liane Moriarty,2014,Big Little Lies,2
263,24337,590920685,Gail Carson Levine,1997,Ella Enchanted,1
264,3876,743297334,Ernest Hemingway,1926,The Sun Also Rises,0
265,14891,61120073,Betty  Smith,1943,A Tree Grows in Brooklyn,5
266,13148,446677388,James Patterson,1995,"Kiss the Girls (Alex Cross, #2)",4
267,21853621,312577222,Kristin Hannah,2015,The Nightingale,3
268,6334,1400078776,Kazuo Ishiguro,2005,Never Let Me Go,2
269,366522,786890754,Cecelia Ahern,2003,P.S. I Love You,1
270,12873,1844080382,"Daphne du Maurier, Sally Beauman",1938,Rebecca,0
271,18373,156030306,Daniel Keyes,1966,Flowers for Algernon,5
272,6952,552995878,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Like Water for Chocolate,4
273,1103,812968069,Lisa See,2005,Snow Flower and the Secret Fan,3
274,22034,451205766,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather,2
275,49750,525476881,John Green,2006,An Abundance of Katherines,1
276,29579,553803719,Isaac Asimov,1951,Foundation (Foundation #1),0
277,15783514,62255657,Neil Gaiman,2013,The Ocean at the End of the Lane,5
278,30118,60513063,Shel Silverstein,1981,A Light in the Attic,4
279,29056083,751565350,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",3
280,11614718,61726834,Lauren Oliver,2011,"Delirium (Delirium, #1)",2
281,32499,385339704,John Grisham,1992,The Pelican Brief,1
282,17061,61139378,Neil Gaiman,2002,Coraline,0
283,12067,60853980,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",5
284,70401,140042598,Jack Kerouac,1955,On the Road,4
285,16181775,1476729085,Graeme Simsion,2013,"The Rosie Project (Don Tillman, #1)",3
286,3063499,446579939,Nicholas Sparks,2008,The Lucky One,2
287,2122,451191153,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead,1
288,19691,425172902,Tom Clancy,1984,"The Hunt for Red October (Jack Ryan Universe, #4)",0
289,76620,038039586X,Richard Adams,1972,"Watership Down (Watership Down, #1)",5
290,10335308,307886263,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns),4
291,3591262,375414495,Abraham Verghese,2009,Cutting for Stone,3
292,140225,006112527X,"C.S. Lewis, Pauline Baynes",1951,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",2
293,295,753453800,Robert Louis Stevenson,1882,Treasure Island,1
294,9520360,1423140591,Rick Riordan,2011,"The Son of Neptune (The Heroes of Olympus, #2)",0
295,10644930,1451627289,Stephen King,2011,11/22/1963,5
296,4948,241003008,Eric Carle,1969,The Very Hungry Caterpillar Board Book,4
297,135479,140285601,Kurt Vonnegut Jr.,1963,Cat's Cradle,3
298,2493,451528557,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine,2
299,7933292,849946158,"Todd Burpo, Lynn Vincent",2010,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,1
300,39999,385751060,John Boyne,2006,The Boy in the Striped Pajamas,0
301,4900,1892295490,Joseph Conrad,1899,Heart of Darkness,5
302,7812659,044654759X,Nicholas Sparks,2010,Safe Haven,4
303,52529,1582701709,Rhonda Byrne,2006,"The Secret (The Secret, #1)",3
304,227711,60987561,Wally Lamb,1998,I Know This Much Is True,2
305,10583,1416524347,Stephen King,1983,Pet Sematary,1
306,5203,671021001,Wally Lamb,1992,She's Come Undone,0
307,1215032,756404738,Patrick Rothfuss,2011,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",5
308,33724,440241901,Sophie Kinsella,2003,Can You Keep a Secret?,4
309,6752378,1442403543,Cassandra Clare,2011,"City of Fallen Angels (The Mortal Instruments, #4)",3
310,14748,743418174,Jennifer Weiner,2001,"Good in Bed (Cannie Shapiro, #1)",2
311,3412,380018179,Colleen McCullough,1977,The Thorn Birds,1
312,2213661,60530928,"Neil Gaiman, Dave McKean",2008,The Graveyard Book,0
313,13158800,1451681739,M.L. Stedman,2012,The Light Between Oceans,5
314,28194,439709105,"Cornelia Funke, Anthea Bell",2003,"Inkheart (Inkworld, #1)",4
315,4894,91883768,"Spencer Johnson, Kenneth H. Blanchard",1998,Who Moved My Cheese?,3
316,9791,307279464,Bill Bryson,1997,A Walk in the Woods,2
317,13214,553279378,Maya Angelou,1969,I Know Why the Caged Bird Sings,1
318,15818107,61950726,Christina Baker Kline,2013,Orphan Train,0
319,8755776,1442416866,Cassandra Clare,2012,"City of Lost Souls (The Mortal Instruments, #5)",5
320,13526165,316204277,Maria Semple,2012,"Where'd You Go, Bernadette",4
321,10365,375806814,Wilson Rawls,1961,Where the Red Fern Grows,3
322,14497,60557818,Neil Gaiman,1996,Neverwhere,2
323,9717,571224385,"Milan Kundera, Michael Henry Heim",1984,The Unbearable Lightness of Being,1
324,16068905,,Rainbow Rowell,2013,Fangirl,0
325,4473,552135399,John Irving,1989,A Prayer for Owen Meany,5
326,32234,316182540,Janet Fitch,1999,White Oleander,4
327,9275658,039925675X,Marie Lu,2011,"Legend (Legend, #1)",3
328,14866,743496728,Jodi Picoult,2007,Nineteen Minutes,2
329,2318271,1401323251,"Randy Pausch, Jeffrey Zaslow",2008,The Last Lecture,1
330,228665,812511816,Robert Jordan,1990,"The Eye of the World (Wheel of Time, #1)",0
331,10916,61150142,Jodi Picoult,1998,The Pact,5
332,65605,60764902,C.S. Lewis,1953,"The Magician's Nephew (Chronicles of Narnia, #6)",4
333,2153405,595440096,Lisa Genova,2007,Still Alice,3
334,13596809,425263916,Sylvia Day,2012,"Reflected in You (Crossfire, #2)",2
335,6689,375814248,"Roald Dahl, Quentin Blake",1961,James and the Giant Peach,1
336,13137,446696617,James Patterson,2001,"1st to Die (Women's Murder Club, #1)",0
